pub_id,pub_name
1,13 31
2,Blue Boar
3,BlueBell
4,Bobos
5,Bora Bora
6,Brew York (Walmgate)
7,BrewYork (Osbaldwick)
8,Charles XII
9,Cock and Bottle
10,Cozy Club
11,Cross Keys
12,D-Bar
13,Dough Eyed
14,Dusk
15,Fossgate Social
16,Golden Fleece
17,Harkers
18,Hole in the Wall
19,Kennedys*
20,Kings Arms
21,Last Drop inn
22,Lendal Cellars
23,Lils Bar and Bistro*
24,Museum Street Tavern
25,O’Neills
26,Pic Tap
27,Plonkers
28,Posterngate Spoons
29,Punch Bowl
30,Pívni
31,Revolution
32,Roman Baths
33,Rook and Gaskell
34,Rose and Crown
35,Social Lounge @ 8’o clock
36,Soltanos
37,Spoons Punchball
38,Stone Roses +
39,Stonebow
40,Tank and Paddle
41,The Angel on the Green
42,The Artful Dodger
43,The Bootham Tavern
44,The BrewDog
45,The Burns Hotel
46,The Chopping Block
47,The Corner Pin
48,The Courtyard
49,The Deramore Arms
50,The Drawing Board
51,The Duke of York
52,The Eagle and Child
53,The Edinburgh Arms
54,The Exhibition*
55,The Fat Badger
56,The Fulford Arms
57,The Gillygate
58,The Golden Ball
59,The Golden Lion
60,The Habit
61,The Hop
62,The House of the Trembling Madness
63,The Kings Inn
64,The Lighthorseman
65,The Lowther
66,The Maltings*
67,The Market Cat Tavern
68,The Masons Arms
69,The Micklegate
70,The Micklegate Social* +
71,The Mount
72,The Nags Head
73,The Old Bank
74,The Old Star Inn  (Centre)
75,The Old White Swan
76,The Pavement Vaults
77,The Phoneix*
78,The Priory
79,The Red Lion
80,The Shambles Tavern
81,The Slip Inn
82,The Snickleway
83,The Swan
84,The Terrace
85,The Three Cranes
86,The Three Tons
87,The Vanbrugh Arms
88,The Victoria
89,The Waterfront
90,The White Horse
91,The Windmill
92,The Winning Post
93,The York Tap (station)
94,Valhalla
95,Victors Bar
96,Waggon and Horses
97,Watergate
