pub_id,tag
1,tags
2,Gone
5,Coctails
6,Cocktails
7,IPAs
7,Sports
8,IPAs
9,Beer Garden
13,Student
14,Kitchen
15,Cocktails
15,Happy hour
16,Beer Garden
17,Beer Garden
20,Dancefloor
26,Irish
26,Sports
27,Cocktails
31,IPAs
32,Dancefloor
32,Cocktails
32,Happy hour
32,Beer Garden
35,Beer Garden
39,Dancefloor
39,Student
40,Sports
40,Student
41,Riverside
43,Beer Garden
45,IPAs
49,Student
49,Beer Garden
49,Sports
51,Cocktails
51,Late
54,Live Music
62,Live Music
66,Student
66,Dancefloor
66,Riverside
67,Gone
74,Student
74,Sports
74,Beer Garden
78,Beer Garden
80,Beer Garden
87,Beer Garden
88,Student
90,Riverside
95,IPAs
95,Live Music
